Area Type,Area Name,Date,Initial Claims,First Payments,Weeks Claimed,Weeks Compensated,Average Weekly Benefit*,Benefits Paid,Final Payments
State,California,05/31/2019,165668,67271,1401731,1271473,332.83,415288831.0,39807
State,California,06/30/2019,171149,60666,1329575,1216991,335.48,400147877.0,37074
State,California,07/31/2019,174565,76047,1371719,1230883,335.65,405902175.0,36184
State,California,08/31/2019,155475,68722,1274726,1139103,335.41,375913234.0,31154
State,California,09/30/2019,144626,56545,1269672,1156311,337.8,382141447.0,31644
State,California,10/31/2019,175585,60557,1158564,1037992,338.03,344354481.0,30270
State,California,11/30/2019,178216,63692,1129274,1012656,337.75,335691642.0,29152
State,California,12/31/2019,198750,85460,1532309,1381424,338.79,460405341.0,37461
State,California,01/31/2020,222158,102237,1545854,1379887,341.65,465399622.0,34854
State,California,02/29/2020,161349,80823,1458078,1314529,338.9,440124177.0,30937
State,California,04/30/2019,177476,66142,1542987,1421254,331.3,461854911.0,37761
State,California,03/31/2019,169402,73080,1661855,1539357,331.02,500094418.0,35359
State,California,02/28/2019,166184,87502,1503910,1370303,332.49,447980193.0,31796
State,California,01/31/2019,227864,109155,1599105,1444592,334.35,474738324.0,37040
State,California,12/31/2018,192677,85105,1499097,1370197,331.43,445687683.0,35742
State,California,11/30/2018,184996,67875,1173067,1060348,331.65,344650568.0,29388
State,California,10/31/2018,180666,66770,1251751,1132942,331.86,368371892.0,33229
State,California,09/30/2018,134915,51831,1194159,1097724,330.74,355378747.0,30466
State,California,08/31/2018,160965,72825,1339571,1205168,329.15,389425634.0,33250
State,California,08/31/2018,160965,72825,1339571,1205168,329.15,389425634.0,33250
State,California,07/31/2018,173213,79015,1457949,1318562,330.19,426470927.0,38292
State,California,06/30/2018,172920,62656,1271182,1154586,330.17,373174221.0,35870
State,California,05/31/2018,175056,65947,1427770,1307657,327.2,418886098.0,41743
State,California,04/30/2018,180154,71049,1663925,1540770,325.81,492130941.0,43879
State,California,03/31/2018,176923,74525,1612852,1481557,325.01,473340522.0,36569
State,California,02/28/2018,155227,85082,1542228,1403082,326.07,449966910.0,34747
State,California,01/31/2018,236303,102980,1666688,1506507,329.3,488346019.0,40606
State,California,12/31/2017,184472,83023,1520759,1384142,326.04,443312240.0,38082
State,California,11/30/2017,200609,75973,1320549,1192735,326.13,380489900.0,34288
State,California,10/31/2017,189583,68456,1379328,1258278,326.45,401486972.0,36693
State,California,09/30/2017,152720,56824,1249028,1134840,326.48,362054373.0,31979
State,California,08/31/2017,172244,76627,1459867,1315418,325.48,419551351.0,36969
State,California,07/31/2017,182860,77887,1521318,1382634,327.14,442417819.0,40417
State,California,06/30/2017,190918,70843,1432340,1303591,326.69,416841560.0,38984
State,California,05/31/2017,177941,69246,1521723,1399490,326.03,445715846.0,42809
State,California,04/30/2017,182438,68400,1632289,1514432,322.44,477455284.0,41980
State,California,03/31/2017,186064,83538,1798839,1655416,320.43,520147642.0,40227
State,California,02/28/2017,188529,96281,1686128,1536582,321.5,484966716.0,37449
State,California,01/31/2017,241626,114992,1847177,1680845,321.9,532450473.0,44318
State,California,12/31/2016,208877,86542,1525421,1379087,317.05,429645509.0,37748
State,California,11/30/2016,205788,79122,1426134,1288851,317.18,400121027.0,37034
State,California,10/31/2016,193086,69031,1416046,1289102,318.86,401761181.0,38871
State,California,09/30/2016,163591,62238,1335340,1206372,318.25,374884843.0,33282
State,California,08/31/2016,189163,81794,1607064,1451703,317.0,451058704.0,39827
State,California,07/31/2016,179184,80421,1484426,1338752,318.39,416833097.0,38182
State,California,06/30/2016,208786,74773,1480853,1341793,318.38,416899766.0,38019
State,California,05/31/2016,181290,74992,1628792,1495892,316.13,462214043.0,45805
State,California,04/30/2016,196427,73587,1596757,1460805,311.63,444590434.0,41139
State,California,03/31/2016,196707,85590,1815558,1658489,310.39,504763417.0,40666
State,California,02/29/2016,193461,100307,1781759,1621905,311.23,495983664.0,39300
State,California,01/31/2016,238406,110609,1732020,1559267,313.83,479693465.0,41906
State,California,12/31/2015,236318,96407,1687130,1514061,308.09,455683635.0,40312
State,California,11/30/2015,192031,80077,1472908,1334849,308.52,402632677.0,39113
State,California,10/31/2015,196942,70163,1343335,1203031,308.48,360846453.0,36592
State,California,09/30/2015,177334,69208,1458174,1311599,308.27,393235141.0,36882
State,California,08/31/2015,181893,78750,1579822,1430803,308.14,430720395.0,40324
State,California,07/31/2015,214067,91663,1618074,1437770,308.77,431313333.0,41579
State,California,06/30/2015,204232,73766,1611330,1471076,309.94,443815634.0,44657
State,California,05/31/2015,173189,71491,1494882,1361688,306.71,407921539.0,44259
State,California,04/30/2015,215537,81558,1790293,1636988,302.76,483534061.0,48025
State,California,03/31/2015,189420,87658,1915451,1754339,301.88,518812181.0,45918
State,California,02/28/2015,198193,97701,1755627,1586301,302.55,471482212.0,41365
State,California,01/31/2015,239200,113814,1829474,1640925,305.08,491554072.0,46168
State,California,12/31/2014,246132,103069,1969923,1783777,302.52,528678137.0,51414
State,California,11/30/2014,203538,78168,1435352,1285843,302.24,379382763.0,39462
State,California,10/31/2014,226179,79353,1598258,1429981,304.15,422301083.0,45692
State,California,09/30/2014,192728,71422,1641965,1491852,304.76,443448014.0,45842
State,California,08/31/2014,205678,82114,1652784,1478176,303.51,437672927.0,42890
State,California,07/31/2014,247115,101524,1883406,1679352,303.93,496441999.0,51705
State,California,06/30/2014,251475,79916,1785698,1624007,305.18,481432395.0,50473
State,California,05/31/2014,228860,82239,1829032,1647578,302.63,483388849.0,53907
State,California,04/30/2014,279963,98670,2255512,2058251,299.1,596832473.0,59885
State,California,03/31/2014,245061,101006,2131213,1933840,297.47,536549083.0,48427
State,California,02/28/2014,253300,118891,2149803,1922003,298.49,535682270.0,49131
State,California,01/31/2014,300546,131108,2267224,2025275,302.88,574757636.0,56056
State,California,12/31/2013,310075,107454,2142743,1925743,301.93,543250540.0,55924
State,California,11/30/2013,278854,88095,1734192,1489951,303.16,418888773.0,44431
State,California,10/31/2013,323811,85655,1863427,1689493,304.65,482783548.0,52931
State,California,09/30/2013,139240,68520,1536660,1428981,304.5,430930811.0,46083
State,California,08/31/2013,213801,100836,1947022,1739251,302.67,500469644.0,48597
State,California,07/31/2013,244713,112260,2301244,1899242,303.13,550301813.0,56969
State,California,06/30/2013,225003,82758,1753275,1567120,303.59,452382620.0,47575
State,California,05/31/2013,235240,91468,2038665,1831133,300.95,522784956.0,58601
State,California,04/30/2013,225171,90669,2174479,1941687,296.88,550663791.0,57523
State,California,03/31/2013,219763,99209,2140680,1933124,295.42,544677783.0,54278
State,California,02/28/2013,234183,109391,2086478,1866583,296.19,527479352.0,50802
State,California,01/31/2013,290008,130963,2353153,2080491,298.87,593511502.0,60937
State,California,12/31/2012,242431,104710,2130228,1904577,296.14,537643826.0,57199
State,California,11/30/2012,241371,91921,1858052,1641624,296.32,459802318.0,49266
State,California,10/31/2012,255021,96365,2110664,1875831,296.82,526425283.0,57363
State,California,09/30/2012,200592,78575,1792004,1592199,297.56,447877273.0,45512
State,California,08/31/2012,244177,103747,2181051,1929842,296.82,543591058.0,55560
State,California,07/31/2012,258130,119074,2196699,1931138,296.8,545364270.0,61171
State,California,06/30/2012,268326,90996,1953825,1740470,296.93,488908667.0,52766
State,California,05/31/2012,254830,96963,2236265,2009210,295.25,560802946.0,64413
State,California,04/30/2012,252699,100007,2327610,2109887,291.98,585011725.0,67988
State,California,03/31/2012,238149,100578,2346117,2127301,291.54,587706365.0,57756
State,California,02/29/2012,254961,120339,2431901,2189476,292.21,607597992.0,58592
State,California,01/31/2012,305011,145343,2538112,2266687,293.3,633914835.0,69154
State,California,12/31/2011,281142,105348,2209100,1975984,291.88,545013134.0,57603
State,California,11/30/2011,278977,106160,2221183,1978887,292.98,546033018.0,57898
State,California,10/31/2011,267980,98472,2049865,1824961,294.76,505840117.0,58172
State,California,09/30/2011,239485,85547,2040218,1821750,294.86,504422372.0,51942
State,California,08/31/2011,262376,114907,2536645,2268158,293.55,630604200.0,65227
State,California,07/31/2011,273249,126048,2193626,1926190,294.69,535739782.0,62858
State,California,06/30/2011,314735,108124,2397699,2153607,296.54,601353430.0,64002
State,California,05/31/2011,258060,99621,2327937,2104334,293.31,581253393.0,69520
State,California,04/30/2011,283730,106961,2388169,2157094,290.92,590744787.0,72694
State,California,03/31/2011,285902,115547,2791713,2545644,290.78,698994248.0,69118
State,California,02/28/2011,263505,122419,2489130,2250991,289.76,616568429.0,63935
State,California,01/31/2011,315606,155054,2722523,2434293,292.64,676217129.0,78031
State,California,12/31/2010,355398,127644,2717178,2440297,292.64,673208997.0,72314
State,California,11/30/2010,305008,114435,2524214,2254949,292.19,618882402.0,69736
State,California,10/31/2010,287643,111419,2309895,2044081,296.6,567197999.0,67009
State,California,09/30/2010,285991,101062,2590473,2323206,299.55,654230331.0,71475
State,California,08/31/2010,293979,122132,2770985,2470727,299.23,699085678.0,76257
State,California,07/31/2010,339181,140795,2694127,2374226,302.95,678284333.0,78474
State,California,06/30/2010,339478,118682,2953620,2662889,305.24,765500784.0,82083
State,California,05/31/2010,291288,112563,2755318,2463848,303.94,703538993.0,80797
State,California,04/30/2010,349026,135453,3125408,2803128,303.52,802019768.0,89524
State,California,03/31/2010,320885,141034,3440006,3119065,303.09,894968931.0,88748
State,California,02/28/2010,298478,148757,3071468,2747895,305.82,795980496.0,81924
State,California,01/31/2010,375795,149789,3109855,2767198,308.18,811665382.0,92773
State,California,12/31/2009,331315,146405,3455257,3092739,307.98,902731674.0,98733
State,California,11/30/2009,300164,127541,3048214,2730458,308.46,797674117.0,91632
State,California,10/31/2009,319008,124397,3019694,2684585,313.77,796278515.0,95837
State,California,09/30/2009,298986,120766,3309114,2980871,317.56,900672636.0,102375
State,California,08/31/2009,280287,134246,3382071,3047177,316.47,923191649.0,103747
State,California,07/31/2009,352561,161145,3643356,3278431,318.66,1000599954.0,104825
State,California,06/30/2009,336995,136970,3628301,3295867,318.82,1006227574.0,95950
State,California,05/31/2009,270259,134063,3377688,3059632,317.12,929627986.0,88568
State,California,04/30/2009,336317,161174,3734965,3387605,314.81,1024630103.0,85718
State,California,03/31/2009,327215,177947,3744725,3377234,272.07,1017465261.0,72552
State,California,02/28/2009,322724,174255,3084124,2748725,312.12,827844443.0,61712
State,California,01/31/2009,363367,179848,3014591,2666657,312.33,805384502.0,65256
State,California,12/31/2008,356558,173982,3122017,2764319,308.51,823062365.0,64746
State,California,11/30/2008,292913,120776,2050472,1788336,306.82,527323795.0,45262
State,California,10/31/2008,289594,119823,2281066,1998787,307.39,589050871.0,54760
State,California,09/30/2008,224953,101676,2140545,1889012,306.03,555091800.0,48403
State,California,08/31/2008,227653,109899,2011602,1749577,305.35,514709348.0,46613
State,California,07/31/2008,266931,120527,2175996,1906757,307.51,565688567.0,49642
State,California,06/30/2008,223559,91567,1913033,1699377,308.74,505128467.0,43944
State,California,05/31/2008,204436,98026,1953372,1726511,307.33,510201506.0,47063
State,California,04/30/2008,236112,107304,2282218,2032619,304.39,597840332.0,50587
State,California,03/31/2008,201504,110466,2039328,1824211,305.08,538012006.0,39434
State,California,02/29/2008,213591,114489,2006647,1755508,308.73,523985549.0,38700
State,California,01/31/2008,261961,120693,2181963,1895370,309.11,568002017.0,44520
State,California,12/31/2007,214371,94751,1811375,1572863,302.01,459826692.0,37547
State,California,11/30/2007,219151,88454,1590385,1372534,303.29,400951244.0,35579
State,California,10/31/2007,216791,82516,1629349,1413250,304.11,414376131.0,36878
State,California,09/30/2007,155790,67712,1366563,1196668,302.93,349096004.0,29360
State,California,08/31/2007,184416,82573,1634211,1428442,300.46,414401946.0,35126
State,California,07/31/2007,189336,86284,1553106,1351248,300.04,391274430.0,34694
State,California,06/30/2007,185261,74984,1457948,1280264,301.61,371523529.0,33137
